rank,tool2,Bray-Curtis distance,Completeness,F1 score,False negatives,False positives,Jaccard index,L1 norm error,Purity,Shannon diversity,Shannon equitability,Sum of abundances,Taxon counts,True positives,Unweighted UniFrac (CAMI),Unweighted UniFrac error,Weighted UniFrac (CAMI),Weighted UniFrac error
genus,SingleM,0.0413594154277836,0.768822182375962,0.866345660448041,56,0.9,0.765899544654373,0.0804151354222981,0.995039311657464,3.84758137675325,0.737826130545672,0.944615979646274,184.7,183.8,,,,
genus,MetaPhlAn,0.0627754333084633,0.952206259869591,0.975493876536486,11.5,0,0.952206259869591,0.125543553909059,1,4.05317465823275,0.746891824398088,1,228.3,228.3,,,,
genus,Kraken2,0.171554048306498,0.99154126530967,0.638477504419511,2.1,266.8,0.470154360772726,0.342719556430816,0.472098390319449,4.19840035348879,0.674822112106532,0.997857000000003,504.5,237.7,,,,
genus,sourmash,0.196060848621755,0.4435419578364,0.613364436555595,134,0,0.4435419578364,0.383450213760923,1,3.8069574631099,0.817241966930262,0.955786896041124,105.8,105.8,,,,
genus,Metabuli,0.187425188855662,0.957396956685278,0.1874770330802,10.2,1978.1,0.10352674133437,0.373186263719469,0.104008225890006,4.17649732595815,0.542424629538371,0.991278811177323,2207.7,229.6,,,,
genus,sylph,0.0434863309279596,0.961787169961199,0.980512573074582,9.2,0,0.961787169961199,0.0869678950452598,1,4.13197441953127,0.760012102241412,1,230.6,230.6,,,,
family,SingleM,0.0254408293168035,0.867253728757808,0.928395974304485,17.6,0,0.867253728757808,0.0501887998893083,1,3.57550539166341,0.75342533192467,0.973052065201688,115.5,115.5,,,,
family,MetaPhlAn,0.0570554664660026,0.972199928633215,0.985880192125818,3.7,0,0.972199928633215,0.114104144154797,1,3.64437404969697,0.74964319632099,1,129.4,129.4,,,,
family,Kraken2,0.163979379398105,0.994121693991837,0.674202555112691,0.8,127.2,0.50953099380678,0.327816997898062,0.511120197314296,3.70547555387851,0.666773980707753,0.999260000000003,259.5,132.3,,,,
family,sourmash,0.168999115784386,0.557752903990698,0.715638509663735,58.9,0,0.557752903990698,0.335049079784821,1,3.55158271844592,0.825142355803465,0.982650135410512,74.2,74.2,,,,
family,Metabuli,0.17291883176819,0.964736423264543,0.33596977085812,4.7,502.5,0.202006720780261,0.344997379377877,0.203516205038892,3.67727508014956,0.570374335804611,0.995296057421652,630.9,128.4,,,,
family,sylph,0.0368155770849797,0.984202641835074,0.992034164848285,2.1,0,0.984202641835074,0.0736267308643759,1,3.70243637447036,0.75967530404085,1,131,131,,,,
order,SingleM,0.0179272039523479,0.908873782484882,0.951804856370236,7.2,0,0.908873782484882,0.0355672890709473,1,3.10713553106941,0.726213169814448,0.984085447053102,72.4,72.4,,,,
order,MetaPhlAn,0.050056934599387,0.976126292228824,0.987890223419721,1.9,0,0.976126292228824,0.100113869198774,1,3.1691428813088,0.728340819831745,1,77.7,77.7,,,,
order,Kraken2,0.158036562138116,0.996338881747605,0.665453505423125,0.3,79.4,0.499598990223731,0.316017319039616,0.500562656662322,3.06654092147946,0.605331540134327,0.999646000000002,158.7,79.3,,,,
order,sourmash,0.148846503538331,0.663424856971725,0.796823396927799,26.8,0,0.663424856971725,0.296504911322936,1,3.03833682300992,0.766702823485168,0.992073379346457,52.8,52.8,,,,
order,Metabuli,0.165386078024562,0.963508891468798,0.408589809504547,2.9,218.9,0.256935270416449,0.330272329096586,0.259459997008423,3.02796392481851,0.532247190564729,0.997001322892246,295.6,76.7,,,,
order,sylph,0.0334413819270258,0.998717948717949,0.999354838709677,0.1,0,0.998717948717949,0.0668827638540516,1,3.21829771552807,0.735771673481596,1,79.5,79.5,,,,
class,SingleM,0.0103088887521429,0.914848367616675,0.95499187097296,3.4,0,0.914848367616675,0.0205379126274241,1,2.02866901883043,0.565849561562144,0.992328725499856,36.3,36.3,,,,
class,MetaPhlAn,0.0249926534538147,0.965405978908681,0.982308216014014,1.4,0,0.965405978908681,0.0499853069076294,1,2.06446238137328,0.56708429659645,1,38.3,38.3,,,,
class,Kraken2,0.082067402226571,1,0.643936262196045,0,43.8,0.476418490819818,0.164125381663975,0.476418490819818,1.93299454999539,0.437069749703762,0.999884000000001,83.5,39.7,,,,
class,sourmash,0.0730362780012697,0.684594545223109,0.811903970895506,12.6,0,0.684594545223109,0.145676428139625,1,1.9431882035443,0.589840838116,0.994645919674874,27.1,27.1,,,,
class,Metabuli,0.0884827370321819,0.952007836055213,0.470614554817722,1.9,82.9,0.308283353325337,0.176841106728571,0.313154269972452,1.90262719823058,0.396946569597235,0.998626671353682,120.7,37.8,,,,
class,sylph,0.0215825909933896,1,1,0,0,1,0.0431651819867792,1,2.11357558999566,0.575064726406674,1,39.7,39.7,,,,
phylum,SingleM,0.00823014648613849,0.944025676111883,0.970677326762107,1.5,0,0.944025676111883,0.0164190396014061,1,1.66648982943567,0.517929865318031,0.995157071793411,25.1,25.1,,,,
phylum,MetaPhlAn,0.0222032826134237,0.948482356501847,0.973356202375442,1.4,0,0.948482356501847,0.0444065652268474,1,1.67554820611635,0.519668548479924,1,25.2,25.2,,,,
phylum,Kraken2,0.0766916347901665,1,0.698215335296053,0,22.9,0.537774219016576,0.153380216276858,0.537774219016576,1.53718120324931,0.393955900553011,0.99996,49.5,26.6,,,,
phylum,sourmash,0.0704271772074151,0.674363012632878,0.803145589391523,8.7,0,0.674363012632878,0.140633475792607,1,1.53761219275173,0.535066037538646,0.996918293029004,17.9,17.9,,,,
phylum,Metabuli,0.0792115587419582,0.928435338801905,0.592102598898167,1.9,32,0.421478667445938,0.158337957456793,0.435651629072682,1.52060681462565,0.376632581157736,0.99894368541415,56.7,24.7,,,,
phylum,sylph,0.0176140461465318,1,1,0,0,1,0.0352280922930636,1,1.72204269094979,0.525578858136913,1,26.6,26.6,,,,
kingdom,SingleM,0.00319750063671652,1,1,0,0,1,0.00639500127343303,1,,,,,2,,,,
kingdom,MetaPhlAn,0.00743228702710202,1,1,0,0,1,0.014864574054204,1,,,,,2,,,,
kingdom,Kraken2,0.0506268152157237,1,1,0,0,1,0.101253630431447,1,,,,,2,,,,
kingdom,sourmash,0.0419370754340684,1,1,0,0,1,0.0838741508681368,1,,,,,2,,,,
kingdom,Metabuli,0.0513932231019225,1,1,0,0,1,0.102786446203845,1,,,,,2,,,,
kingdom,sylph,0.00545237284516597,1,1,0,0,1,0.0109047456903319,1,,,,,2,,,,
