tool	community	rank	metric	value	tool2
metaphlan42	marine2	kingdom	Bray-Curtis distance	0.00073488857431247	MetaPhlAn v4.2
metaphlan42	marine2	phylum	Bray-Curtis distance	0.0412041373504776	MetaPhlAn v4.2
metaphlan42	marine2	class	Bray-Curtis distance	0.0924615759963423	MetaPhlAn v4.2
metaphlan42	marine2	order	Bray-Curtis distance	0.11561433458073	MetaPhlAn v4.2
metaphlan42	marine2	family	Bray-Curtis distance	0.139206892770247	MetaPhlAn v4.2
metaphlan42	marine2	genus	Bray-Curtis distance	0.16284865813286	MetaPhlAn v4.2
metaphlan42	marine2	species	Bray-Curtis distance	0.231008142110317	MetaPhlAn v4.2
singlem	marine3	kingdom	Bray-Curtis distance	0.00196914576197959	SingleM
singlem	marine3	phylum	Bray-Curtis distance	0.0111524913810414	SingleM
singlem	marine3	class	Bray-Curtis distance	0.0139905946221138	SingleM
singlem	marine3	order	Bray-Curtis distance	0.0232119738466058	SingleM
singlem	marine3	family	Bray-Curtis distance	0.0302136421501606	SingleM
singlem	marine3	genus	Bray-Curtis distance	0.0491182051525059	SingleM
singlem	marine3	species	Bray-Curtis distance	0.198809754599432	SingleM
metaphlan	marine3	kingdom	Bray-Curtis distance	0.00056262222170432	MetaPhlAn
metaphlan	marine3	phylum	Bray-Curtis distance	0.0515994040793831	MetaPhlAn
metaphlan	marine3	class	Bray-Curtis distance	0.0735772801937898	MetaPhlAn
metaphlan	marine3	order	Bray-Curtis distance	0.0814116989887342	MetaPhlAn
metaphlan	marine3	family	Bray-Curtis distance	0.10046434139809	MetaPhlAn
metaphlan	marine3	genus	Bray-Curtis distance	0.118611659942017	MetaPhlAn
metaphlan	marine3	species	Bray-Curtis distance	0.182490649711869	MetaPhlAn
kraken	marine3	kingdom	Bray-Curtis distance	0.00536472828275735	Kraken2
kraken	marine3	phylum	Bray-Curtis distance	0.106512002025472	Kraken2
kraken	marine3	class	Bray-Curtis distance	0.114862953989036	Kraken2
kraken	marine3	order	Bray-Curtis distance	0.164064500292477	Kraken2
kraken	marine3	family	Bray-Curtis distance	0.191238785006258	Kraken2
kraken	marine3	genus	Bray-Curtis distance	0.206360109801906	Kraken2
kraken	marine3	species	Bray-Curtis distance	0.272762927434209	Kraken2
sourmash	marine3	kingdom	Bray-Curtis distance	0.0052773208753499	sourmash
sourmash	marine3	phylum	Bray-Curtis distance	0.118774632641328	sourmash
sourmash	marine3	class	Bray-Curtis distance	0.129599684749278	sourmash
sourmash	marine3	order	Bray-Curtis distance	0.186535201506574	sourmash
sourmash	marine3	family	Bray-Curtis distance	0.222712740015801	sourmash
sourmash	marine3	genus	Bray-Curtis distance	0.273467719497799	sourmash
sourmash	marine3	species	Bray-Curtis distance	0.346261626112885	sourmash
metabuli	marine3	kingdom	Bray-Curtis distance	0.00636994780189257	Metabuli
metabuli	marine3	phylum	Bray-Curtis distance	0.170699330439792	Metabuli
metabuli	marine3	class	Bray-Curtis distance	0.186611353344367	Metabuli
metabuli	marine3	order	Bray-Curtis distance	0.233889821448982	Metabuli
metabuli	marine3	family	Bray-Curtis distance	0.263424757585158	Metabuli
metabuli	marine3	genus	Bray-Curtis distance	0.348252093267773	Metabuli
metabuli	marine3	species	Bray-Curtis distance	0.577295696938234	Metabuli
sylph	marine3	kingdom	Bray-Curtis distance	2.59032255336411e-07	sylph
sylph	marine3	phylum	Bray-Curtis distance	0.00591415667662561	sylph
sylph	marine3	class	Bray-Curtis distance	0.00665130580516394	sylph
sylph	marine3	order	Bray-Curtis distance	0.00959105960155136	sylph
sylph	marine3	family	Bray-Curtis distance	0.012183594976698	sylph
sylph	marine3	genus	Bray-Curtis distance	0.016493340075992	sylph
sylph	marine3	species	Bray-Curtis distance	0.024872095192571	sylph
metaphlan42	marine3	kingdom	Bray-Curtis distance	0.000562621009492983	MetaPhlAn v4.2
metaphlan42	marine3	phylum	Bray-Curtis distance	0.0515992653433305	MetaPhlAn v4.2
metaphlan42	marine3	class	Bray-Curtis distance	0.0735772551390922	MetaPhlAn v4.2
metaphlan42	marine3	order	Bray-Curtis distance	0.0814115649062268	MetaPhlAn v4.2
metaphlan42	marine3	family	Bray-Curtis distance	0.100464218079584	MetaPhlAn v4.2
metaphlan42	marine3	genus	Bray-Curtis distance	0.118611545566001	MetaPhlAn v4.2
metaphlan42	marine3	species	Bray-Curtis distance	0.182490643585762	MetaPhlAn v4.2
singlem	marine4	kingdom	Bray-Curtis distance	0.00238908902524369	SingleM
singlem	marine4	phylum	Bray-Curtis distance	0.0168084648004516	SingleM
singlem	marine4	class	Bray-Curtis distance	0.0166844539086466	SingleM
singlem	marine4	order	Bray-Curtis distance	0.0223481445490272	SingleM
singlem	marine4	family	Bray-Curtis distance	0.0296180525878781	SingleM
singlem	marine4	genus	Bray-Curtis distance	0.0420054095463891	SingleM
singlem	marine4	species	Bray-Curtis distance	0.150770237706457	SingleM
metaphlan	marine4	kingdom	Bray-Curtis distance	0.00130588663442319	MetaPhlAn
metaphlan	marine4	phylum	Bray-Curtis distance	0.0774623723120773	MetaPhlAn
metaphlan	marine4	class	Bray-Curtis distance	0.0832632376007482	MetaPhlAn
metaphlan	marine4	order	Bray-Curtis distance	0.0990051354332845	MetaPhlAn
metaphlan	marine4	family	Bray-Curtis distance	0.114715357710322	MetaPhlAn
metaphlan	marine4	genus	Bray-Curtis distance	0.17688571130551	MetaPhlAn
metaphlan	marine4	species	Bray-Curtis distance	0.225712101733216	MetaPhlAn
kraken	marine4	kingdom	Bray-Curtis distance	0.00535640994188771	Kraken2
kraken	marine4	phylum	Bray-Curtis distance	0.116361182320334	Kraken2
kraken	marine4	class	Bray-Curtis distance	0.125314839347981	Kraken2
kraken	marine4	order	Bray-Curtis distance	0.160161442277863	Kraken2
kraken	marine4	family	Bray-Curtis distance	0.177703696176389	Kraken2
kraken	marine4	genus	Bray-Curtis distance	0.198545050620371	Kraken2
kraken	marine4	species	Bray-Curtis distance	0.258491773897899	Kraken2
sourmash	marine4	kingdom	Bray-Curtis distance	0.00562879800158924	sourmash
sourmash	marine4	phylum	Bray-Curtis distance	0.14445007583034	sourmash
sourmash	marine4	class	Bray-Curtis distance	0.155066281181854	sourmash
sourmash	marine4	order	Bray-Curtis distance	0.18681615200344	sourmash
sourmash	marine4	family	Bray-Curtis distance	0.214012310261845	sourmash
sourmash	marine4	genus	Bray-Curtis distance	0.250679975962544	sourmash
sourmash	marine4	species	Bray-Curtis distance	0.298403130214226	sourmash
metabuli	marine4	kingdom	Bray-Curtis distance	0.00573812369244975	Metabuli
metabuli	marine4	phylum	Bray-Curtis distance	0.159194162393885	Metabuli
metabuli	marine4	class	Bray-Curtis distance	0.171721594168395	Metabuli
metabuli	marine4	order	Bray-Curtis distance	0.240948779219057	Metabuli
metabuli	marine4	family	Bray-Curtis distance	0.268827846344917	Metabuli
metabuli	marine4	genus	Bray-Curtis distance	0.373438521312428	Metabuli
metabuli	marine4	species	Bray-Curtis distance	0.653455434148099	Metabuli
sylph	marine4	kingdom	Bray-Curtis distance	0.000407351747538602	sylph
sylph	marine4	phylum	Bray-Curtis distance	0.0194348316254155	sylph
