tool,community,rank,metric,value
metaphlan42,marine4,kingdom,True positives,2
metaphlan42,marine4,kingdom,False negatives,0
metaphlan42,marine4,kingdom,False positives,0
metaphlan42,marine4,kingdom,Completeness,1
metaphlan42,marine4,kingdom,Purity,1
metaphlan42,marine4,kingdom,F1 score,1
metaphlan42,marine4,kingdom,Jaccard index,1
metaphlan42,marine4,phylum,True positives,30
metaphlan42,marine4,phylum,False negatives,5
metaphlan42,marine4,phylum,False positives,0
metaphlan42,marine4,phylum,Completeness,0.857142857142857
metaphlan42,marine4,phylum,Purity,1
metaphlan42,marine4,phylum,F1 score,0.923076923076923
metaphlan42,marine4,phylum,Jaccard index,0.857142857142857
metaphlan42,marine4,class,True positives,43
metaphlan42,marine4,class,False negatives,8
metaphlan42,marine4,class,False positives,0
metaphlan42,marine4,class,Completeness,0.843137254901961
metaphlan42,marine4,class,Purity,1
metaphlan42,marine4,class,F1 score,0.914893617021277
metaphlan42,marine4,class,Jaccard index,0.843137254901961
metaphlan42,marine4,order,True positives,85
metaphlan42,marine4,order,False negatives,13
metaphlan42,marine4,order,False positives,0
metaphlan42,marine4,order,Completeness,0.86734693877551
metaphlan42,marine4,order,Purity,1
metaphlan42,marine4,order,F1 score,0.92896174863388
metaphlan42,marine4,order,Jaccard index,0.86734693877551
metaphlan42,marine4,family,True positives,140
metaphlan42,marine4,family,False negatives,22
metaphlan42,marine4,family,False positives,0
metaphlan42,marine4,family,Completeness,0.864197530864198
metaphlan42,marine4,family,Purity,1
metaphlan42,marine4,family,F1 score,0.927152317880795
metaphlan42,marine4,family,Jaccard index,0.864197530864198
metaphlan42,marine4,genus,True positives,256
metaphlan42,marine4,genus,False negatives,35
metaphlan42,marine4,genus,False positives,0
metaphlan42,marine4,genus,Completeness,0.879725085910653
metaphlan42,marine4,genus,Purity,1
metaphlan42,marine4,genus,F1 score,0.936014625228519
metaphlan42,marine4,genus,Jaccard index,0.879725085910653
metaphlan42,marine4,species,True positives,329
metaphlan42,marine4,species,False negatives,87
metaphlan42,marine4,species,False positives,37
metaphlan42,marine4,species,Completeness,0.790865384615385
metaphlan42,marine4,species,Purity,0.898907103825137
metaphlan42,marine4,species,F1 score,0.841432225063939
metaphlan42,marine4,species,Jaccard index,0.726269315673289
metaphlan42,marine4,kingdom,L1 norm error,0.00261177326884653
metaphlan42,marine4,phylum,L1 norm error,0.154924744624155
metaphlan42,marine4,class,L1 norm error,0.166526475201497
metaphlan42,marine4,order,L1 norm error,0.198010270866569
metaphlan42,marine4,family,L1 norm error,0.229430715420645
metaphlan42,marine4,genus,L1 norm error,0.35377142261102
metaphlan42,marine4,species,L1 norm error,0.451424203466433
metaphlan42,marine4,na,Weighted UniFrac error,0.0124047964999399
metaphlan42,marine4,na,Unweighted UniFrac error,0.140160648076513
metaphlan42,marine4,na,Weighted UniFrac (CAMI),1.55669960545917
metaphlan42,marine4,na,Unweighted UniFrac (CAMI),526
metaphlan42,marine4,phylum,Sum of abundances,1
metaphlan42,marine4,class,Sum of abundances,1
metaphlan42,marine4,order,Sum of abundances,1
metaphlan42,marine4,family,Sum of abundances,1
metaphlan42,marine4,genus,Sum of abundances,1
metaphlan42,marine4,species,Sum of abundances,1
metaphlan42,marine4,phylum,Taxon counts,30
metaphlan42,marine4,class,Taxon counts,43
metaphlan42,marine4,order,Taxon counts,85
metaphlan42,marine4,family,Taxon counts,140
metaphlan42,marine4,genus,Taxon counts,256
metaphlan42,marine4,species,Taxon counts,366
metakssd,marine4,kingdom,Bray-Curtis distance,0.000964991835024144
metakssd,marine4,phylum,Bray-Curtis distance,0.0350982089474597
metakssd,marine4,class,Bray-Curtis distance,0.048894508556973
metakssd,marine4,order,Bray-Curtis distance,0.0704260985949454
metakssd,marine4,family,Bray-Curtis distance,0.0796805576458135
metakssd,marine4,genus,Bray-Curtis distance,0.111339428937691
metakssd,marine4,species,Bray-Curtis distance,0.149784764636711
metakssd,marine4,phylum,Shannon diversity,1.78682263042216
metakssd,marine4,phylum,Shannon equitability,0.502573193824973
metakssd,marine4,class,Shannon diversity,2.18384999417591
metakssd,marine4,class,Shannon equitability,0.555429003768597
metakssd,marine4,order,Shannon diversity,3.28766740767091
metakssd,marine4,order,Shannon equitability,0.717053593720185
metakssd,marine4,family,Shannon diversity,3.79789350334518
metakssd,marine4,family,Shannon equitability,0.748327769966279
metakssd,marine4,genus,Shannon diversity,4.68078122156586
metakssd,marine4,genus,Shannon equitability,0.826560813550563
metakssd,marine4,species,Shannon diversity,5.25409272634166
metakssd,marine4,species,Shannon equitability,0.857855401007849
metakssd,marine4,kingdom,True positives,2
metakssd,marine4,kingdom,False negatives,0
metakssd,marine4,kingdom,False positives,0
metakssd,marine4,kingdom,Completeness,1
metakssd,marine4,kingdom,Purity,1
metakssd,marine4,kingdom,F1 score,1
metakssd,marine4,kingdom,Jaccard index,1
