tool,community,rank,metric,value,tool2
sylph,marine0,species,Purity,1,sylph
sylph,marine0,species,F1 score,1,sylph
sylph,marine0,species,Jaccard index,1,sylph
sylph,marine0,kingdom,L1 norm error,0,sylph
sylph,marine0,phylum,L1 norm error,0.306323791917608,sylph
sylph,marine0,class,L1 norm error,0.306323791917608,sylph
sylph,marine0,order,L1 norm error,0.306323791917608,sylph
sylph,marine0,family,L1 norm error,0.306323791917608,sylph
sylph,marine0,genus,L1 norm error,0.306323791917608,sylph
sylph,marine0,species,L1 norm error,0.153161895958804,sylph
sylph,marine0,,Weighted UniFrac error,0.0163117419196126,sylph
sylph,marine0,,Unweighted UniFrac error,0.227516158818098,sylph
sylph,marine0,,Weighted UniFrac (CAMI),1.68478085554684,sylph
sylph,marine0,,Unweighted UniFrac (CAMI),13,sylph
sylph,marine0,phylum,Sum of abundances,1,sylph
sylph,marine0,class,Sum of abundances,1,sylph
sylph,marine0,order,Sum of abundances,1,sylph
sylph,marine0,family,Sum of abundances,1,sylph
sylph,marine0,genus,Sum of abundances,1,sylph
sylph,marine0,species,Sum of abundances,1,sylph
sylph,marine0,phylum,Taxon counts,5,sylph
sylph,marine0,class,Taxon counts,6,sylph
sylph,marine0,order,Taxon counts,7,sylph
sylph,marine0,family,Taxon counts,8,sylph
sylph,marine0,genus,Taxon counts,8,sylph
sylph,marine0,species,Taxon counts,9,sylph
singlem_dev,marine0,kingdom,Bray-Curtis distance,0,SingleM dev
singlem_dev,marine0,phylum,Bray-Curtis distance,0.0492041747928787,SingleM dev
singlem_dev,marine0,class,Bray-Curtis distance,0.0593528439016982,SingleM dev
singlem_dev,marine0,order,Bray-Curtis distance,0.0733800075042875,SingleM dev
singlem_dev,marine0,family,Bray-Curtis distance,0.0743234195506002,SingleM dev
singlem_dev,marine0,genus,Bray-Curtis distance,0.082503313839248,SingleM dev
singlem_dev,marine0,species,Bray-Curtis distance,0.0658307431172469,SingleM dev
singlem_dev,marine0,phylum,Shannon diversity,1.34889049070902,SingleM dev
singlem_dev,marine0,phylum,Shannon equitability,0.752830116918628,SingleM dev
