tool	community	known	dom	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
SingleM dev	sample5	0	10	phylum	0.800798850098129	0.5	0.666666666666667	4	0	0.5	0.889381787482252	1	0.361544241839012	0.260799042381551	0.110618212517748	4	4
SingleM dev	sample5	0	50	phylum	0.0185080483613094	0.8	0.888888888888889	1	0	0.8	0.0363434503852713	1	0.657547353667364	0.474320153142784	0.963656549614729	4	4
SingleM dev	sample5	10	10	phylum	0.511711592806099	0.5	0.666666666666667	3	0	0.5	0.677272200877159	1	0.585541513050216	0.532982853996737	0.323542812784772	3	3
SingleM dev	sample5	10	50	phylum	0.0294600308682542	1	1	0	0	1	0.0572339478656737	1	0.768047351067835	0.554029052276735	0.942766052134326	4	4
SingleM dev	sample5	50	10	phylum	0.0361713127714736	0.714285714285714	0.833333333333333	2	0	0.714285714285714	0.0698172441673284	1	0.800614071882709	0.497449491960747	0.930182755832672	5	5
SingleM dev	sample5	50	50	phylum	0.0701822978750457	0.333333333333333	0.5	4	0	0.333333333333333	0.1311595192976	1	0.189303348978017	0.273107002794258	0.868840480702401	2	2
SingleM dev	sample5	70	10	phylum	0.0422190802546874	1	1	0	0	1	0.0820426333653948	1	0.745733842683039	0.4162019821803	0.943259608463069	6	6
SingleM dev	sample5	70	50	phylum	0.593087468863172	0.5	0.666666666666667	3	0	0.5	0.744576152226468	1	0.430598572721684	0.391947711820806	0.255423847773532	3	3
SingleM dev	sample5	100	10	phylum	0.0624597198861939	0.75	0.75	1	1	0.6	0.117937758781889	0.75	0.791702829701058	0.571092873133738	0.888221064660226	4	3
SingleM dev	sample5	100	50	phylum	0.303958323190029	0.6	0.666666666666667	2	1	0.5	0.466658776481434	0.75	0.533901438680398	0.385128478953846	0.535272242535989	4	3
SingleM joint	sample4	0	10	phylum	0.102008386669609	0.8	0.888888888888889	2	0	0.8	0.204016773339219	1	1.83489109196352	0.882396092982368	1	8	8
SingleM joint	sample4	0	50	phylum	0.0986489058039962	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.197297811607992	1	1.37903877371933	0.769656194038961	1	6	6
SingleM joint	sample4	10	10	phylum	0.113302225412778	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.226604450825556	1	1.72820945463646	0.831093069940481	1	8	8
SingleM joint	sample4	10	50	phylum	0.0791534391534391	1	1	0	0	1	0.158306878306878	1	1.18612044932627	0.736978071761957	1	5	5
SingleM joint	sample4	50	10	phylum	0.0867802912922219	1	1	0	0	1	0.173560582584444	1	1.77156426000828	0.851942324176693	1	8	8
SingleM joint	sample4	50	50	phylum	0.0613616886208538	1	1	0	0	1	0.122723377241708	1	1.58644384008854	0.762918220248195	1	8	8
SingleM joint	sample4	70	10	phylum	0.0471279409717388	1	1	0	0	1	0.0942558819434776	1	1.79986086972997	0.865550117016506	1	8	8
SingleM joint	sample4	70	50	phylum	0.025071505459019	1	1	0	0	1	0.050143010918038	1	1.45871203463532	0.749629696593896	1	7	7
SingleM joint	sample4	100	10	phylum	0.0185790679908327	1	1	0	0	1	0.0371581359816654	1	1.39357526656968	0.865876997057968	1	5	5
SingleM joint	sample4	100	50	phylum	0.0194142259414226	1	1	0	0	1	0.0388284518828452	1	1.32114651369076	0.820874482627705	1	5	5
SingleM joint	sample5	0	10	phylum	0.0838456248766565	0.625	0.769230769230769	3	0	0.625	0.167691249753313	1	0.697092395007174	0.433127857633786	1	5	5
SingleM joint	sample5	0	50	phylum	0.0461140994010754	1	1	0	0	1	0.0922281988021507	1	0.659599240486768	0.409832050923416	1	5	5
SingleM joint	sample5	10	10	phylum	0.031291983130357	1	1	0	0	1	0.062583966260714	1	0.629500872753302	0.351331126506902	1	6	6
SingleM joint	sample5	10	50	phylum	0.0484106030791032	1	1	0	0	1	0.0968212061582063	1	0.738098179063326	0.532425291311917	1	4	4
SingleM joint	sample5	50	10	phylum	0.0184740445809775	1	1	0	0	1	0.0369480891619551	1	0.813725868557749	0.418172374995213	1	7	7
SingleM joint	sample5	50	50	phylum	0.0159913329752665	1	1	0	0	1	0.0319826659505331	1	0.405405405065524	0.226261064628382	1	6	6
SingleM joint	sample5	70	10	phylum	0.0443242850471602	1	1	0	0	1	0.0886485700943203	1	0.87061552461777	0.485899775929667	1	6	6
SingleM joint	sample5	70	50	phylum	0.0162701740928519	1	1	0	0	1	0.0325403481857038	1	0.631539142007429	0.352468706237403	1	6	6
SingleM joint	sample5	100	10	phylum	0.004769577469475	1	1	0	0	1	0.00953915493894999	1	0.767946931634839	0.553956614967739	1	4	4
SingleM joint	sample5	100	50	phylum	0.00187464561154545	1	1	0	0	1	0.0037492912230909	1	0.687217741356484	0.426992390353936	1	5	5
sylph	sample4	0	10	phylum	0.64	0.2	0.333333333333333	8	0	0.2	1.28	1	0.692833845006572	0.999547952351013	1	2	2
