tool	community	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives	Unweighted UniFrac (CAMI)	Unweighted UniFrac error	Weighted UniFrac (CAMI)	Weighted UniFrac error
SingleM dev	sample5	species	0.173243070104057	0.333333333333333	0.5	8	0	0.333333333333333	0.295323406578812	1	0.80952918266891	0.583951868645666	0.704676593421189	4	4				
SingleM inject	sample4	species	0.17411326612824	0.983050847457627	0.966666666666667	1	3	0.935483870967742	0.336215303470127	0.950819672131147	3.79034052636597	0.922027931676323	0.931014855711765	61	58				
SingleM inject	sample5	species	0.00930847703544614	1	1	0	0	1	0.0185649256802441	1	0.904085720355162	0.363830858769803	0.994410644141882	12	12				
SingleM joint	sample4	species	0.117086675658409	0.983050847457627	0.958677685950413	1	4	0.920634920634921	0.233659158521037	0.935483870967742	4.02503838919354	0.975262255520075	0.995608443122255	62	58				
SingleM joint	sample5	species	0.120473149699496	0.5	0.666666666666667	6	0	0.5	0.218097943421502	1	0.966633783170728	0.539488586371017	0.810344827586207	6	6				
SingleM nnls	sample4	species	0.130154729398586	0.983050847457627	0.958677685950413	1	4	0.920634920634921	0.259745703507056	0.935483870967742	4.05192452849864	0.981776736706472	0.995668576219086	62	58				
SingleM nnls	sample5	species	0.866009322058265	1	1	0	0	1	1.72967304410458	1	0.990477684787657	0.398597542838142	0.997291484107384	12	12				
SingleM truecov	sample4	species	0.115381098097147	0.983050847457627	0.958677685950413	1	4	0.920634920634921	0.230268145444335	0.935483870967742	4.02648595028834	0.975612997938363	0.995718096307735	62	58				
SingleM truecov	sample5	species	0.15505146278584	0.916666666666667	0.956521739130435	1	0	0.916666666666667	0.309931213849415	1	0.528441969812003	0.220377418399639	0.998892550130261	11	11				
sylph	sample4	species	0.0290229189257477	0.983050847457627	0.991452991452991	1	0	0.983050847457627	0.0580458378514955	1	4.05445820671496	0.998526071215404	1	58	58				
